Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,Hour,Day
T100000,CUST3252,2023-10-04 07:45:00,37.54,6,3,2,0,0,94,417.4,1492,0,0,7,Wednesday
T100001,CUST1630,2023-09-26 08:29:00,240.81,7,3,1,0,0,76,335.47,66,0,0,8,Tuesday
T100002,CUST7852,2023-07-18 15:54:00,105.34,1,1,1,0,0,60,432.03,216,0,0,15,Tuesday
T100003,CUST4892,2023-10-16 17:10:00,73.04,7,2,0,4,0,68,488.3,449,0,0,17,Monday
T100004,CUST8831,2023-09-09 00:46:00,13.57,7,0,0,0,0,57,437.03,754,0,0,0,Saturday
T100005,CUST2962,2024-01-14 03:15:00,13.57,6,0,1,5,0,64,207.8,1513,0,0,3,Sunday
T100006,CUST2118,2023-02-09 08:56:00,4.79,5,2,0,0,0,182,409.11,1163,0,0,8,Thursday
T100007,CUST4852,2023-03-26 13:12:00,160.9,2,1,1,2,0,80,358.71,216,0,0,13,Sunday
T100008,CUST7160,2023-03-06 20:09:00,73.53,6,1,2,1,0,87,40.19,500,0,0,20,Monday
T100009,CUST2337,2023-06-27 12:06:00,98.5,4,1,0,5,0,182,465.58,1131,0,0,12,Tuesday
T100010,CUST9322,2023-02-09 22:45:00,1.66,6,0,0,6,0,187,238.32,1992,0,0,22,Thursday
T100011,CUST8675,2023-07-25 18:45:00,280.28,4,3,0,0,0,167,75.88,1427,0,0,18,Tuesday
T100012,CUST3603,2023-01-02 04:32:00,142.91,7,1,2,6,0,120,218.44,839,0,0,4,Monday
T100013,CUST4855,2023-04-20 21:27:00,19.1,1,0,2,1,0,143,305.54,359,0,0,21,Thursday
T100014,CUST1114,2023-07-24 10:27:00,16.05,6,0,0,5,0,79,290.74,1178,0,0,10,Monday
T100015,CUST5555,2023-08-14 12:04:00,16.21,4,3,1,1,0,156,291.65,1369,0,0,12,Monday
T100016,CUST7395,2024-01-20 05:58:00,29.02,6,2,2,6,0,36,135.36,987,0,0,5,Saturday
T100017,CUST5632,2023-07-01 12:06:00,59.51,1,2,0,4,0,54,320.02,349,0,0,12,Saturday
T100018,CUST7496,2023-07-30 09:36:00,45.24,7,1,0,5,0,145,454.63,504,0,0,9,Sunday
T100019,CUST2634,2023-12-06 15:34:00,27.54,6,1,2,3,1,100,200.45,1542,0,0,15,Wednesday
T100020,CUST2854,2023-08-25 19:33:00,75.71,3,3,1,4,0,86,318.98,855,0,0,19,Friday
T100021,CUST6465,2023-01-03 07:09:00,12.02,4,1,0,5,0,22,129.55,543,0,0,7,Tuesday
T100022,CUST4900,2023-02-05 11:58:00,27.64,1,3,1,0,0,75,33.66,363,0,0,11,Sunday
T100023,CUST3087,2023-09-21 18:00:00,36.5,4,0,1,6,0,36,297.01,1124,0,0,18,Thursday
