Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent
T100000,CUST3252,04-10-2023 07:45,37.54,Travel,PayPal,POS,Bengaluru,0,94,417.4,1492,No,0
T100001,CUST1630,26-09-2023 08:29,240.81,Utilities,PayPal,Mobile,Bengaluru,0,76,335.47,66,No,0
T100002,CUST7852,18-07-2023 15:54,105.34,Entertainment,Debit Card,Mobile,Bengaluru,0,60,432.03,216,No,0
T100003,CUST4892,16-10-2023 17:10,73.04,Utilities,NetBanking,Desktop,Kolkata,0,68,488.3,449,No,0
T100004,CUST8831,09-09-2023 00:46,13.57,Utilities,Credit Card,Desktop,Bengaluru,0,57,437.03,754,No,0
T100005,CUST2962,14-01-2024 03:15,13.57,Travel,Credit Card,Mobile,Mumbai,0,64,207.8,1513,No,0
T100006,CUST2118,09-02-2023 08:56,4.79,Health,NetBanking,Desktop,Bengaluru,0,182,409.11,1163,No,0
T100007,CUST4852,26-03-2023 13:12,160.9,Fashion,Debit Card,Mobile,Delhi,0,80,358.71,216,No,0
T100008,CUST7160,06-03-2023 20:09,73.53,Travel,Debit Card,POS,Chennai,0,87,40.19,500,No,0
T100009,CUST2337,27-06-2023 12:06,98.5,Grocery,Debit Card,Desktop,Mumbai,0,182,465.58,1131,No,0
T100010,CUST9322,09-02-2023 22:45,1.66,Travel,Credit Card,Desktop,Pune,0,187,238.32,1992,No,0
T100011,CUST8675,25-07-2023 18:45,280.28,Grocery,PayPal,Desktop,Bengaluru,0,167,75.88,1427,No,0
T100012,CUST3603,02-01-2023 04:32,142.91,Utilities,Debit Card,POS,Pune,0,120,218.44,839,No,0
T100013,CUST4855,20-04-2023 21:27,19.1,Entertainment,Credit Card,POS,Chennai,0,143,305.54,359,No,0
T100014,CUST1114,24-07-2023 10:27,16.05,Travel,Credit Card,Desktop,Mumbai,0,79,290.74,1178,No,0
T100015,CUST5555,14-08-2023 12:04,16.21,Grocery,PayPal,Mobile,Chennai,0,156,291.65,1369,No,0
T100016,CUST7395,20-01-2024 05:58,29.02,Travel,NetBanking,POS,Pune,0,36,135.36,987,No,0
T100017,CUST5632,01-07-2023 12:06,59.51,Entertainment,NetBanking,Desktop,Kolkata,0,54,320.02,349,No,0
T100018,CUST7496,30-07-2023 09:36,45.24,Utilities,Debit Card,Desktop,Mumbai,0,145,454.63,504,No,0
T100019,CUST2634,06-12-2023 15:34,27.54,Travel,Debit Card,POS,Hyderabad,1,100,200.45,1542,No,0
T100020,CUST2854,25-08-2023 19:33,75.71,Food,PayPal,Mobile,Kolkata,0,86,318.98,855,No,0
T100021,CUST6465,03-01-2023 07:09,12.02,Grocery,Debit Card,Desktop,Mumbai,0,22,129.55,543,No,0
T100022,CUST4900,05-02-2023 11:58,27.64,Entertainment,PayPal,Mobile,Bengaluru,0,75,33.66,363,No,0
T100023,CUST3087,21-09-2023 18:00,36.5,Grocery,Credit Card,Mobile,Pune,0,36,297.01,1124,No,0
T100024,CUST7223,12-08-2023 04:50,48.71,Grocery,Debit Card,POS,Chennai,0,29,33.3,494,No,0
T100025,CUST3347,08-11-2023 02:26,123.03,Electronics,Credit Card,Desktop,Chennai,0,183,364.56,1429,No,0
T100026,CUST9119,24-02-2023 09:47,17.82,Entertainment,UPI,Desktop,Chennai,0,170,338.47,753,No,0
T100027,CUST8120,11-11-2023 19:01,57.76,Travel,PayPal,Mobile,Delhi,0,160,190.97,37,No,0
T100028,CUST4506,23-07-2023 02:04,71.8,Grocery,UPI,POS,Delhi,0,142,211.53,1749,No,0
T100029,CUST7707,19-05-2023 15:59,3.81,Health,Debit Card,POS,Bengaluru,0,18,459.7,193,No,0
T100030,CUST2161,18-01-2023 12:48,74.83,Electronics,Credit Card,POS,Hyderabad,0,38,16.44,810,No,0
T100031,CUST1325,31-01-2024 03:23,14.96,Food,Debit Card,Mobile,Delhi,0,101,286.02,1348,No,0
T100032,CUST3979,11-10-2023 01:37,5.38,Grocery,UPI,Mobile,Mumbai,0,34,462.45,387,Yes,1
T100033,CUST5190,04-12-2023 17:57,237.9,Utilities,Debit Card,Desktop,Kolkata,0,121,457.85,110,No,0
T100034,CUST3166,20-10-2023 22:48,269.65,Grocery,NetBanking,POS,Pune,0,173,296.48,803,No,0
